Profundidad,Min_Samples,Arboles,Accuracy,Ranking
300,3,100,0.6577173414996121,160
300,3,100,0.6577173414996121,160
300,3,100,0.6575924741711487,162
,5,200,0.6545642280224775,163
,5,200,0.6545642280224775,163
,5,200,0.6545642280224775,163
650,5,200,0.6545642280224775,163
650,5,200,0.6545642280224775,163
650,5,200,0.6545642280224775,163
,5,100,0.6536589252723889,169
,5,100,0.6536589252723889,169
,5,100,0.6536589252723889,169
650,5,100,0.6536589252723889,169
650,5,100,0.6536589252723889,169
650,5,100,0.6536589252723889,169
650,5,100,0.6536588638737305,175
650,5,100,0.6536588638737305,175
,5,100,0.6536588638737305,175
,5,100,0.6536588638737305,175
650,5,100,0.6536588638737305,175
,5,100,0.6536588638737305,175
300,5,200,0.6533467832649408,181
300,5,200,0.6533467832649408,181
300,5,200,0.6533467832649408,181
650,5,100,0.6528472262387178,184
,5,100,0.6528472262387178,184
,5,100,0.6528472262387178,184
,5,100,0.6528472262387178,184
650,5,100,0.6528472262387178,184
650,5,100,0.6528472262387178,184
,5,200,0.652847161916314,190
,5,200,0.652847161916314,190
650,5,200,0.652847161916314,190
650,5,200,0.652847161916314,190
,5,200,0.652847161916314,190
650,5,200,0.652847161916314,190
300,5,100,0.6523477803148289,196
300,5,100,0.6523477803148289,196
300,5,100,0.6523477803148289,196
,5,200,0.6520667381896713,199
,5,200,0.6520667381896713,199
,5,200,0.6520667381896713,199
650,5,200,0.6520667381896713,199
650,5,200,0.6520667381896713,199
650,5,200,0.6520667381896713,199
300,5,100,0.6510989754616402,205
300,5,100,0.6510989754616402,205
300,5,100,0.6510989754616402,205
300,5,200,0.6507242711451526,208
300,5,200,0.6507242711451526,208
300,5,200,0.6507242711451526,208
300,5,100,0.650162382785795,211
300,5,100,0.650162382785795,211
300,5,100,0.650162382785795,211
300,5,200,0.6501311601061879,214
300,5,200,0.6501311601061879,214
300,5,200,0.6501311601061879,214
